length_change_%,length_change_%,length_change_%,length_change_%,risk_change_%,risk_change_%,risk_change_%,risk_change_%,energy_change_%,energy_change_%,energy_change_%,energy_change_%,turns_change_%,turns_change_%,turns_change_%,turns_change_%,height_changes_change_%,height_changes_change_%,height_changes_change_%,height_changes_change_%
mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
0.14,4.01,-2.68,7.39,0.3,4.98,-8.49,4.0,0.13,3.84,-2.58,7.07,-2.12,3.44,-5.25,2.55,-0.44,1.21,-1.47,1.47
-0.28,0.28,-0.55,-0.02,-0.03,1.2,-1.16,1.11,-0.26,0.27,-0.51,-0.0,-0.18,0.28,-0.44,0.09,0.25,0.26,0.0,0.49
-0.15,0.2,-0.38,0.01,0.07,1.11,-1.17,1.07,-0.1,0.2,-0.34,0.07,0.08,0.18,-0.11,0.25,0.49,0.52,0.0,0.98
-1.6,2.22,-3.67,1.18,1.53,7.97,-11.97,7.86,-1.5,2.07,-3.43,1.07,-5.0,4.05,-10.96,0.0,-0.1,0.21,-0.49,0.0
-0.49,0.53,-0.99,0.02,0.05,2.81,-3.09,2.56,0.74,0.76,0.0,1.46,-0.12,0.16,-0.27,0.04,-0.25,0.26,-0.49,0.0
