depotAbbreviation,depotCity,depotCountry,depotGpsLatitude,depotGpsLongitude,depotId,depotLive,depotOperator,lastLiveUpdate,Aangepast,Type,,,,
ASD-VM,Amsterdam - Veemarkt,NL,,,213031,FALSE,TGN,,X,,,,,
ASN-KM,Assen - Korenmaat,NL,52.9706988,6.5604861,218886,TRUE,TGN,,,,,,,
BD-SW,Breda - Slingerweg,NL,51.5914305,4.7610078,218849,TRUE,TGN,,,,,,,
BT-DO,Best - Donge,NL,,,218853,FALSE,TGN,,X,,,,,
DDT-ZS,Dordrecht - Zernikestraat,NL,51.77503784,4.641271141,218834,TRUE,TGN,,PostNL - Depot Dordrecht,,,,,
DTC-EW,Doetinchem - Expeditieweg,NL,51.7746179,4.6384343,218863,TRUE,TGN,,,,,,,
DV-DW,Deventer - Duurstedeweg,NL,52.2507409,6.1858148,218877,TRUE,TGN,,,,,,,
ED-MS,Ede - Morsestraat,NL,,,218861,FALSE,TGN,,X,,,,,
EHV-DS,Eindhoven - Dillenburgstraat,NL,,,213034,FALSE,TGN,,X,,,,,
GN-BH,Groningen - Bornholmstraat,NL,,,218888,FALSE,TGN,,X,,,,,
GS-VSW,Goes - Verryn Stuartweg,NL,51.4942493,3.8776028,218843,TRUE,TGN,,,,,,,
GV-BL,s-Gravenhage - Binckhorstlaan,NL,,,218824,FALSE,TGN,,X,,,,,
GV-DT-SW,Delft - Staalweg,NL,,,218825,FALSE,TGN,,X,,,,,
GV-LO,s-Gravenhage - Loire,NL,52.0700136,4.3934514,218823,TRUE,TGN,,,,,,,
HGV-VS,Hoogeveen - Voltastraat,NL,,,218880,FALSE,TGN,,X,,,,,
HLM-KW,Haarlem - Kuppersweg,NL,,,218819,FALSE,TGN,,X,,,,,
HRL-CR,Heerlen - In de Cramer,NL,50.8950744,5.9574056,218860,TRUE,TGN,,,,,,,
HRV-W,Heerenveen - Wetterwille,NL,,,219051,TRUE,TGN,,PostNL Zelfscanpunt,,,,,
HT-SB,s-Hertogenbosch - Steenbok,NL,51.6875163,5.3600743,218852,TRUE,TGN,,,,,,,
LDN-F,Leiden,NL,,,399707,TRUE,TGN,,,,,,,
LW-JW,Leeuwarden - James Wattstraat,NL,,,218884,FALSE,TGN,,,,,,,
MT-WV,Maastricht,NL,,,218442,TRUE,TGN,,,,,,,
NM-HW,Nijmegen - Holtakkerweg,NL,51.8218894,5.7861358,217397,TRUE,TGN,,,,,,,
NWG-GW,Nieuwegein - Grote Wade,NL,52.0479987,5.111706,218837,TRUE,TGN,,,,,,,
